date,s&p500,dividend,earnings,cpi,bondInterest
1903-01,8.46,0.33,0.62,8.658,3.300
1903-02,8.41,0.33,0.61,8.658,3.308
1903-03,8.08,0.34,0.61,8.373,3.317
1903-04,7.75,0.34,0.60,8.373,3.325
1903-05,7.60,0.34,0.59,8.183,3.333
1903-06,7.18,0.34,0.58,8.183,3.342
1903-07,6.85,0.34,0.57,8.183,3.350
1903-08,6.63,0.34,0.56,8.183,3.358
1903-09,6.47,0.35,0.56,8.278,3.367
1903-10,6.26,0.35,0.55,8.183,3.375
1903-11,6.28,0.35,0.54,8.087,3.383
1903-12,6.57,0.35,0.53,8.087,3.392
1904-01,6.68,0.35,0.53,8.278,3.400
1904-02,6.50,0.34,0.52,8.468,3.407
1904-03,6.48,0.34,0.52,8.373,3.413
1904-04,6.64,0.34,0.52,8.278,3.420
1904-05,6.50,0.33,0.51,8.087,3.427
1904-06,6.51,0.33,0.51,8.087,3.433
1904-07,6.78,0.33,0.51,8.087,3.440
1904-08,7.01,0.32,0.50,8.183,3.447
1904-09,7.32,0.32,0.50,8.278,3.453
1904-10,7.75,0.32,0.50,8.278,3.460
1904-11,8.17,0.31,0.49,8.468,3.467
1904-12,8.25,0.31,0.49,8.468,3.473
1905-01,8.43,0.31,0.51,8.468,3.480
1905-02,8.80,0.31,0.52,8.468,3.476
1905-03,9.05,0.32,0.54,8.373,3.472
1905-04,8.94,0.32,0.55,8.373,3.468
1905-05,8.50,0.32,0.57,8.278,3.463
1905-06,8.60,0.32,0.58,8.278,3.459
1905-07,8.87,0.32,0.60,8.278,3.455
1905-08,9.20,0.32,0.61,8.373,3.451
1905-09,9.23,0.33,0.63,8.278,3.447
1905-10,9.36,0.33,0.64,8.278,3.443
1905-11,9.31,0.33,0.66,8.373,3.438
1905-12,9.54,0.33,0.67,8.468,3.434
1906-01,9.87,0.34,0.68,8.468,3.430
1906-02,9.80,0.34,0.69,8.468,3.450
1906-03,9.56,0.35,0.69,8.468,3.470
1906-04,9.43,0.35,0.70,8.468,3.490
1906-05,9.18,0.36,0.71,8.563,3.510
1906-06,9.30,0.37,0.72,8.563,3.530
1906-07,9.06,0.37,0.72,8.278,3.550
1906-08,9.73,0.38,0.73,8.468,3.570
1906-09,10.03,0.38,0.74,8.563,3.590
1906-10,9.73,0.39,0.75,8.753,3.610
1906-11,9.93,0.39,0.75,8.849,3.630
1906-12,9.84,0.40,0.76,8.944,3.650
1907-01,9.56,0.40,0.75,8.849,3.670
1907-02,9.26,0.41,0.74,9.039,3.687
1907-03,8.35,0.41,0.74,8.944,3.703
1907-04,8.39,0.41,0.73,8.944,3.720
1907-05,8.10,0.42,0.72,9.134,3.737
1907-06,7.84,0.42,0.71,9.229,3.753
1907-07,8.14,0.42,0.70,9.229,3.770
1907-08,7.53,0.43,0.69,9.229,3.787
1907-09,7.45,0.43,0.69,9.229,3.803
1907-10,6.64,0.43,0.68,9.324,3.820
1907-11,6.25,0.44,0.67,8.944,3.837
1907-12,6.57,0.44,0.66,8.753,3.853
1908-01,6.85,0.44,0.65,8.658,3.870
1908-02,6.60,0.43,0.65,8.563,3.861
1908-03,6.87,0.43,0.64,8.563,3.852
1908-04,7.24,0.43,0.63,8.658,3.843
1908-05,7.63,0.42,0.63,8.658,3.833
1908-06,7.64,0.42,0.62,8.658,3.824
1908-07,7.92,0.42,0.61,8.753,3.815
1908-08,8.26,0.41,0.61,8.753,3.806
1908-09,8.17,0.41,0.60,8.753,3.797
1908-10,8.27,0.41,0.59,8.849,3.788
1908-11,8.83,0.40,0.59,8.944,3.778
1908-12,9.03,0.40,0.58,9.039,3.769
1909-01,9.06,0.40,0.60,8.944,3.760
1909-02,8.80,0.41,0.61,9.039,3.773
1909-03,8.92,0.41,0.63,9.039,3.785
1909-04,9.32,0.41,0.64,9.229,3.798
1909-05,9.63,0.42,0.66,9.324,3.810
1909-06,9.80,0.42,0.67,9.419,3.823
1909-07,9.94,0.42,0.69,9.419,3.835
1909-08,10.18,0.43,0.70,9.515,3.848
1909-09,10.19,0.43,0.72,9.610,3.860
1909-10,10.23,0.43,0.73,9.800,3.873
1909-11,10.18,0.44,0.75,9.895,3.885
1909-12,10.30,0.44,0.76,9.990,3.898
1910-01,10.08,0.44,0.76,9.895,3.910
1910-02,9.72,0.45,0.76,9.895,3.916
1910-03,9.96,0.45,0.75,10.085,3.922
1910-04,9.72,0.45,0.75,10.181,3.928
1910-05,9.56,0.45,0.75,9.990,3.933
1910-06,9.10,0.46,0.75,9.895,3.939
1910-07,8.64,0.46,0.74,9.895,3.945
1910-08,8.85,0.46,0.74,9.800,3.951
1910-09,8.91,0.46,0.74,9.705,3.957
1910-10,9.32,0.47,0.74,9.419,3.963
1910-11,9.31,0.47,0.73,9.229,3.968
1910-12,9.05,0.47,0.73,9.229,3.974
1911-01,9.27,0.47,0.72,9.229,3.980
1911-02,9.43,0.47,0.71,8.944,3.983
1911-03,9.32,0.47,0.70,9.039,3.985
1911-04,9.28,0.47,0.68,8.753,3.988
1911-05,9.48,0.47,0.67,8.753,3.990
1911-06,9.67,0.47,0.66,8.753,3.993
1911-07,9.63,0.47,0.65,8.849,3.995
1911-08,9.17,0.47,0.64,9.134,3.998
1911-09,8.67,0.47,0.63,9.229,4.000
1911-10,8.72,0.47,0.61,9.229,4.003
1911-11,9.07,0.47,0.60,9.134,4.005
1911-12,9.11,0.47,0.59,9.039,4.008
1912-01,9.12,0.47,0.60,9.134,4.010
1912-02,9.04,0.47,0.61,9.229,4.047
1912-03,9.30,0.47,0.62,9.419,4.083
1912-04,9.59,0.47,0.63,9.705,4.120
1912-05,9.58,0.47,0.64,9.705,4.157
1912-06,9.58,0.48,0.65,9.610,4.193
1912-07,9.59,0.48,0.65,9.610,4.230
1912-08,9.81,0.48,0.66,9.705,4.267
1912-09,9.86,0.48,0.67,9.800,4.303
1912-10,9.84,0.48,0.68,9.800,4.340
1912-11,9.73,0.48,0.69,9.800,4.377
1912-12,9.38,0.48,0.70,9.705,4.413
1913-01,9.30,0.48,0.69,9.800,4.450
1913-02,8.97,0.48,0.69,9.800,4.426
1913-03,8.80,0.48,0.68,9.800,4.402
1913-04,8.79,0.48,0.68,9.800,4.378
1913-05,8.55,0.48,0.67,9.700,4.353
1913-06,8.12,0.48,0.67,9.800,4.329
1913-07,8.23,0.48,0.66,9.900,4.305
